country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
Russia,FL1T,Virtus.pro,807,21508,1058,1.08,1.04
Brazil,nqz,paiN,77,2018,152,1.13,1.04
Finland,ZOREE,HAVU,295,7878,431,1.09,1.03
Brazil,FalleN,SK,1310,34450,2051,1.1,1.03
United States,Xeppaa,Chaos,94,2427,76,1.05,1.03
Germany,tabseN,BIG,1301,34757,501,1.02,1.03
Bulgaria,SHiPZ,SKADE,555,14839,338,1.03,1.03
Malaysia,kaze,ViCi,122,3126,160,1.08,1.03
Denmark,stavn,HEROIC,865,23353,943,1.06,1.03
Denmark,JUGi,HEROIC,515,13592,847,1.1,1.03
Kosovo,gxx-,Bad News Eagles,234,6260,373,1.1,1.03
France,Maka,3DMAX,197,4922,197,1.06,1.03
Russia,fame,Virtus.pro,381,9787,411,1.07,1.03
Denmark,nicoodoz,HEROIC,415,10833,590,1.09,1.03
Germany,Krimbo,BIG,301,7949,475,1.1,1.03
Kazakhstan,HObbit,Cloud9,1022,26896,1071,1.06,1.03
Ukraine,b1t,Natus Vincere,456,11939,658,1.09,1.03
Brazil,saffee,MIBR,282,7383,322,1.07,1.03
France,shox,G2,1228,32583,1203,1.06,1.03
Finland,stonde,ENCE,71,1845,90,1.08,1.03
Brazil,fnx,Luminosity,347,9025,342,1.06,1.03
Latvia,YEKINDAR,Liquid,525,14214,207,1.02,1.03
United Kingdom,mezii,Vitality,435,11402,460,1.06,1.03
Canada,shroud,Cloud9,397,10430,431,1.06,1.03
Poland,MICHU,Virtus.pro,679,17789,316,1.03,1.03
Denmark,cajunb,North,954,25153,1048,1.07,1.03
Denmark,Kjaerbye,North,1073,28429,979,1.05,1.02
Turkey,Calyx,Eternal Fire,613,16091,718,1.07,1.02
United States,leaf,Chaos,54,1357,19,1.02,1.02
Jordan,ISSAA,HellRaisers,604,15999,502,1.05,1.02
Russia,iDISBALANCE,9 Pandas,318,8278,426,1.08,1.02
Bulgaria,REDSTAR,Fiend,126,3356,123,1.06,1.02
Finland,suNny,MOUZ,752,19886,372,1.03,1.02
Sweden,KRIMZ,fnatic,1341,35430,1276,1.06,1.02
Belgium,Nivera,Heretics,72,1908,62,1.05,1.02
Turkey,paz,Space Soldiers,452,11928,300,1.04,1.02
Finland,sergej,ENCE,345,9195,313,1.05,1.02
France,Happy,Envy,647,16797,577,1.05,1.02
Romania,iM,Natus Vincere,244,6327,141,1.03,1.02
Bulgaria,Rainwaker,SKADE,296,8065,332,1.07,1.02
United States,ShahZaM,Complexity,419,11103,247,1.03,1.02
Poland,dycha,ENCE,634,16776,237,1.02,1.02
Finland,ottoNd,Valiance,236,6201,274,1.07,1.02
Denmark,cadiaN,HEROIC,972,26034,1248,1.08,1.02
Sweden,Brollan,fnatic,916,24475,359,1.02,1.02
Australia,jks,Renegades,1034,27475,839,1.05,1.02
Denmark,Farlig,Astralis,327,8940,336,1.06,1.02
Germany,faveN,Sprout,560,15002,425,1.04,1.02
Sweden,eraa,GamerLegion,68,1877,70,1.06,1.01
United States,koosta,CLG,527,14153,148,1.02,1.01
Indonesia,BnTeT,TYLOO,343,9320,216,1.03,1.01
Russia,shalfey,FORZE,235,6292,277,1.07,1.01
Sweden,dennis,fnatic,763,20159,340,1.02,1.01
Denmark,kraghen,ECSTATIC,60,1432,3,1.0,1.01
Lithuania,EspiranTo,Valiance,309,8237,89,1.02,1.01
Russia,Forester,Entropiq,486,13024,266,1.03,1.01
Lithuania,jL,Natus Vincere,197,5041,111,1.03,1.01
Turkey,Wicadia,Eternal Fire,99,2378,17,1.01,1.01
China,Moseyuh,TYLOO,67,1750,19,1.02,1.01
Portugal,story,SAW,129,3282,141,1.07,1.01
Brazil,felps,SK,573,14992,72,1.01,1.01
Norway,rain,FaZe,1585,41932,376,1.01,1.01
Sweden,olofmeister,FaZe,1019,26841,748,1.04,1.01
Brazil,kNgV-,MIBR,289,7677,75,1.01,1.01
Brazil,boltz,Immortals,722,19266,511,1.04,1.01
France,afro,fnatic,278,7442,202,1.04,1.01
Norway,hallzerk,Complexity,348,8977,236,1.04,1.01
Russia,glowiing,9 Pandas,134,3404,-20,0.99,1.01
United States,Skadoodle,Cloud9,617,16139,773,1.08,1.01
Sweden,flusha,fnatic,986,26058,516,1.03,1.01
Mongolia,bLitz,TheMongolz,107,2739,35,1.02,1.01
Sweden,REZ,Ninjas in Pyjamas,1259,33440,505,1.02,1.01
Guatemala,malbsMd,M80,51,1315,-21,0.98,1.01
Poland,rallen,Kinguin,644,17209,415,1.04,1.01
Brazil,insani,MIBR,102,2559,11,1.01,1.01
Netherlands,FASHR,fnatic,284,7662,47,1.01,1.01
Russia,lattykk,Aurora,88,2333,58,1.04,1.01
Denmark,roeJ,Copenhagen Flames,575,15118,163,1.02,1.01
Finland,zehN,GODSENT,405,10771,172,1.02,1.01
Kazakhstan,mou,Gambit,567,15017,286,1.03,1.01
Ukraine,bondik,HellRaisers,591,15641,343,1.03,1.0
Russia,r3salt,FORZE,97,2500,-3,1.0,1.0
Russia,KENSI,Aurora,364,9654,189,1.03,1.0
Sweden,twist,GODSENT,862,22981,250,1.02,1.0
Poland,snatchie,AGO,563,15000,56,1.01,1.0
United States,oBo,Complexity,195,5302,28,1.01,1.0
Korea,XigN,MVP PK,77,2020,5,1.0,1.0
Brazil,vsm,Fluxo,64,1715,12,1.01,1.0
Sweden,JW,fnatic,1128,29885,141,1.01,1.0
Brazil,biguzera,paiN,189,5015,27,1.01,1.0
Russia,flamie,Natus Vincere,1039,27583,437,1.02,1.0
Denmark,Xyp9x,Astralis,1434,37992,1146,1.05,1.0
China,Savage,VG.CyberZen,61,1634,-6,0.99,1.0
Czech Republic,SHOCK,SINNERS,172,4607,41,1.01,1.0
United States,SicK,Misfits,311,8221,11,1.0,1.0
Israel,flameZ,Vitality,410,10828,51,1.01,1.0
Mongolia,910,TheMongolz,57,1402,42,1.05,1.0
Sweden,Lekr0,Ninjas in Pyjamas,952,25361,191,1.01,1.0
Brazil,skullz,Liquid,104,2727,27,1.02,1.0
Norway,jkaem,Apeks,910,23961,-190,0.99,1.0
Mongolia,erkaSt,Grayhound,61,1679,-23,0.98,1.0
Denmark,aizy,North,1006,26725,136,1.01,1.0
China,Mercury,TYLOO,83,2124,-2,1.0,1.0
Poland,Snax,Virtus.pro,828,21310,168,1.01,1.0
Ukraine,sdy,Spirit,750,19699,417,1.03,1.0
Germany,keev,BIG,281,7382,51,1.01,1.0
United States,roca,Echo Fox,106,2764,-6,1.0,1.0
Serbia,nexa,G2,910,24384,364,1.02,1.0
Russia,Norwi,Aurora,249,6561,82,1.02,1.0
France,hAdji,Envy,236,5967,34,1.01,1.0
Estonia,HS,OpTic,196,5192,-56,0.98,1.0
Kosovo,juanflatroo,Bad News Eagles,219,5867,-82,0.98,1.0
Denmark,jabbi,Copenhagen Flames,481,12733,156,1.02,1.0
Denmark,Pimp,SK,290,7620,79,1.02,1.0
Denmark,sjuush,HEROIC,688,18242,263,1.02,1.0
Brazil,zevy,paiN,83,2260,17,1.01,0.99
Denmark,Bubzkji,Tricked,366,9873,50,1.01,0.99
Denmark,dragonfly,Fragsters,91,2402,19,1.01,0.99
Lithuania,nukkye,Imperial,146,3878,21,1.01,0.99
Poland,mouz,Kinguin,495,13088,114,1.01,0.99
Finland,sLowi,HAVU,217,5803,-20,1.0,0.99
Denmark,TeSeS,HEROIC,710,18951,111,1.01,0.99
Ukraine,zont1x,Spirit,122,2831,27,1.01,0.99
Brazil,JOTA,MIBR,104,2809,31,1.02,0.99
Canada,moose,eUnited,110,2881,3,1.0,0.99
Australia,Rickeh,CLG,283,7689,93,1.02,0.99
Netherlands,CRUC1AL,Endpoint,312,8317,128,1.02,0.99
Russia,TRAVIS,AMKAL,139,3691,-25,0.99,0.99
Sweden,HEAP,Dignitas,153,4114,2,1.0,0.99
Sweden,GeT_RiGhT,Ninjas in Pyjamas,781,20499,27,1.0,0.99
Brazil,dumau,GODSENT,164,4325,31,1.01,0.99
Poland,GruBy,AGO,440,11590,-107,0.99,0.99
Poland,SZPERO,Kinguin,491,12742,9,1.0,0.99
Poland,byali,Virtus.pro,626,16313,9,1.0,0.99
Norway,cromen,Dignitas,69,1813,4,1.0,0.99
Czech Republic,NEOFRAG,SINNERS,325,8757,-111,0.98,0.99
United States,Hiko,Liquid,333,8777,111,1.02,0.99
United States,Stewie2K,Cloud9,1136,30182,-308,0.99,0.99
Kazakhstan,buster,AVANGAR,806,21588,300,1.02,0.98
Sweden,Relaxa,Red Reserve,70,1831,8,1.01,0.98
United States,Nifty,Renegades,334,8936,-71,0.99,0.98
Spain,loWel,MOUZ,286,7552,78,1.02,0.98
Ukraine,COLDYY1,Spirit,226,5863,-32,0.99,0.98
North Macedonia,CacaNito,Apeks,138,3385,-40,0.98,0.98
Sweden,znajder,GODSENT,354,9304,-39,0.99,0.98
Israel,xertioN,MOUZ,220,5497,-46,0.99,0.98
Denmark,AnJ,NRG,94,2505,19,1.01,0.98
China,JamYoung,TYLOO,83,2124,-20,0.99,0.98
Russia,magixx,Spirit,589,15453,106,1.01,0.98
Canada,DAVEY,Splyce,82,2053,-66,0.96,0.98
Germany,slaxz-,Sprout,259,7060,55,1.01,0.98
United States,floppy,Complexity,468,12255,-173,0.98,0.98
Denmark,salazar,ECSTATIC,64,1516,34,1.04,0.98
United States,ptr,NRG,208,5560,-26,0.99,0.98
South Africa,Sonic,Cloud9,231,6240,-58,0.99,0.98
United States,tarik,Evil Geniuses,1051,27588,-346,0.98,0.98
Denmark,niko,HEROIC,909,24309,-79,1.0,0.98
Kazakhstan,Qikert,Virtus.pro,879,23447,1,1.0,0.98
Portugal,ewjerkz,SAW,129,3282,-80,0.97,0.98
Kazakhstan,dimasick,AVANGAR,117,2938,-50,0.98,0.98
Montenegro,Maden,ENCE,607,15991,-306,0.97,0.98
Slovakia,queztone,HellRaisers,56,1489,-11,0.99,0.98
Poland,innocent,CSGL,375,9745,-176,0.97,0.98
United States,jdm64,Liquid,479,12487,-25,1.0,0.98
Russia,Perfecto,Cloud9,713,18692,330,1.03,0.98
Estonia,fejtZ,HellRaisers,50,1310,2,1.0,0.98
Poland,reatz,Kinguin,204,5486,-55,0.99,0.97
France,AMANEK,G2,710,19317,47,1.0,0.97
United States,dapr,eUnited,79,2033,-34,0.98,0.97
Sweden,disco doplan,GODSENT,429,11535,-129,0.98,0.97
Russia,Patsi,Spirit,206,5587,-187,0.95,0.97
Russia,n0rb3r7,Virtus.pro,424,10856,-182,0.98,0.97
Ukraine,jR,Vega Squadron,146,3896,-32,0.99,0.97
Denmark,Zyphon,Copenhagen Flames,262,6997,-80,0.98,0.97
Switzerland,rigoN,Bad News Eagles,218,5855,-293,0.93,0.97
