country,name,teams,maps,rounds,K/D Diff,K/D,Rating 1.0
Brazil,b4rtiN,GODSENT,150,3932,-167,0.94,0.94
Canada,FaNg,Complexity,277,7480,-346,0.93,0.94
Poland,F1KU,OG,329,8818,-415,0.93,0.94
Canada,steel,Ghost,114,3056,-170,0.92,0.94
France,Djoko,3DMAX,274,7215,-396,0.92,0.94
France,DEVIL,Envy,221,5878,-238,0.94,0.94
Portugal,JUST,SAW,261,6687,-289,0.94,0.94
Poland,Furlan,AGO,680,17984,-1020,0.92,0.94
China,somebody,TYLOO,311,8387,-486,0.92,0.94
Finland,juho,ENCE,165,4379,-319,0.9,0.94
Sweden,freddieb,GODSENT,428,11514,-547,0.93,0.94
Sweden,xelos,Epsilon,64,1758,-106,0.92,0.94
France,misutaaa,Vitality,420,11198,-511,0.93,0.94
United States,yay,Complexity,115,3072,-208,0.91,0.94
Poland,STOMP,Illuminar,58,1575,-50,0.95,0.93
Kosovo,sinnopsyy,Bad News Eagles,234,6260,-480,0.9,0.93
Brazil,VINI,Imperial,581,15466,-746,0.93,0.93
Brazil,SHOOWTiME,Luminosity,288,7480,-373,0.93,0.93
Poland,siuhy,MOUZ,194,4866,-246,0.93,0.93
Bulgaria,v1c7oR,Windigo,588,15472,-818,0.92,0.93
Poland,TOAO,AGO,238,6276,-306,0.93,0.93
Canada,stanislaw,Evil Geniuses,875,22998,-964,0.94,0.93
Sweden,wenton,fnatic,98,2607,-122,0.93,0.93
Estonia,shokz,Movistar Riders,97,2608,-118,0.93,0.93
Germany,k1to,BIG,777,20967,-1231,0.92,0.93
Romania,adamS,KOI,85,2010,-102,0.93,0.93
Brazil,trk,MIBR,86,2270,-87,0.94,0.93
United States,motm,Cloud9,119,3213,-186,0.92,0.93
Brazil,brnz4n,MIBR,136,3447,-217,0.91,0.93
Russia,Jerry,FORZE,713,19458,-944,0.93,0.93
Russia,X5G7V,K23,85,2326,-105,0.93,0.93
Belgium,to1nou,LDLC,248,6623,-291,0.93,0.93
Turkey,xfl0ud,Eternal Fire,150,4135,-118,0.95,0.93
Russia,facecrack,FORZE,375,10278,-720,0.9,0.93
Germany,Spiidi,Sprout,798,21229,-884,0.94,0.93
Bulgaria,SPELLAN,Windigo,129,3286,-167,0.93,0.93
Finland,xseveN,ENCE,490,13024,-595,0.93,0.93
Korea,xeta,MVP PK,52,1335,-88,0.91,0.93
Russia,seized,Natus Vincere,535,13896,-657,0.93,0.93
Finland,doto,ENCE,271,7273,-393,0.92,0.93
United Kingdom,dephh,Complexity,194,5099,-357,0.9,0.93
United States,mitch,Selfless,62,1614,-110,0.9,0.93
Switzerland,Maniac,LDLC,146,3922,-223,0.92,0.93
Denmark,b0RUP,HEROIC,514,14037,-728,0.92,0.93
Germany,crisby,ALTERNATE aTTaX,102,2656,-180,0.91,0.93
United States,abE,Splyce,61,1537,-120,0.9,0.93
Brazil,shz,Luminosity,120,3148,-190,0.91,0.93
Kazakhstan,fitch,AVANGAR,211,5637,-370,0.91,0.93
North Macedonia,kyxsan,HEROIC,194,4887,-250,0.92,0.93
Spain,sausol,Movistar Riders,105,2889,-156,0.92,0.93
Denmark,Queenix,ECSTATIC,60,1432,-64,0.93,0.92
Russia,Polt,1WIN,59,1615,-74,0.93,0.92
Brazil,steel,Immortals,508,13340,-675,0.93,0.92
Brazil,arT,FURIA,700,18364,-1303,0.9,0.92
Australia,USTILO,Renegades,377,10060,-757,0.9,0.92
Norway,kalle,Epsilon,59,1598,-72,0.93,0.92
France,mistou,LDLC,84,2245,-125,0.92,0.92
Hungary,DeadFox,HellRaisers,515,13582,-716,0.92,0.92
France,JACKZ,G2,665,18097,-1010,0.92,0.92
Kazakhstan,Lack1,Aurora,457,12092,-778,0.91,0.92
Sweden,phzy,Ninjas in Pyjamas,53,1427,-75,0.92,0.92
Russia,chopper,Spirit,795,20925,-1103,0.92,0.92
Sweden,robiin,Endpoint,134,3529,-209,0.92,0.92
United States,junior,FURIA,147,3974,-149,0.94,0.92
Hong Kong,Freeman,TYLOO,86,2203,-150,0.9,0.92
Denmark,Lucky,Astralis,99,2601,-118,0.93,0.92
Denmark,Buzz,Astralis,134,3521,-186,0.92,0.92
Germany,s1n,BIG,130,3289,-177,0.92,0.92
Germany,kzy,ALTERNATE aTTaX,104,2706,-160,0.92,0.92
